0.00.938.819 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.939.137 W srv  llama_server: -----------------
0.00.939.139 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.939.139 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.939.139 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.939.140 W srv  llama_server: -----------------
0.00.940.506 I srv    load_model: loading model '/home/REDACTED/Bonsai-demo/models/bonsai2-gguf/27B/Ternary-Bonsai-2-27B-PQ2_0.gguf'
0.08.368.481 I cmn          init: llama threadpool init, n_threads = 20
0.09.282.420 I srv    load_model: initializing, n_slots = 12, n_ctx_slot = 1024, kv_unified = 'false'
0.09.286.239 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.09.286.284 I srv  llama_server: model loaded
0.09.286.288 I srv  llama_server: listening on http://127.0.0.1:8095
1.54.965.156 I slot get_availabl: id 11 | task -1 | selected slot by LRU, t_last = -1
12.16.814.295 I slot print_timing: id 10 | task 1405 | n_gen =    153, tg =   8.07 t/s, tg_3s =   8.97 t/s
12.16.814.502 I slot print_timing: id 11 | task 1404 | n_gen =    153, tg =   8.07 t/s, tg_3s =   8.97 t/s
12.17.714.524 I slot print_timing: id  2 | task 1471 | n_gen =    100, tg =   8.27 t/s, tg_3s =   8.36 t/s
12.19.357.316 I slot print_timing: id  3 | task 1486 | n_gen =    100, tg =   8.56 t/s, tg_3s =   8.65 t/s
12.19.895.016 I slot print_timing: id  0 | task 1400 | n_gen =    179, tg =   8.12 t/s, tg_3s =   8.43 t/s
12.19.895.232 I slot print_timing: id  1 | task 1401 | n_gen =    179, tg =   8.12 t/s, tg_3s =   8.43 t/s
12.19.895.866 I slot print_timing: id  4 | task 1402 | n_gen =    179, tg =   8.12 t/s, tg_3s =   8.43 t/s
12.19.896.080 I slot print_timing: id  5 | task 1406 | n_gen =    179, tg =   8.12 t/s, tg_3s =   8.43 t/s
12.19.896.295 I slot print_timing: id  6 | task 1407 | n_gen =    179, tg =   8.12 t/s, tg_3s =   8.43 t/s
12.19.896.505 I slot print_timing: id  7 | task 1408 | n_gen =    179, tg =   8.12 t/s, tg_3s =   8.43 t/s
12.19.896.716 I slot print_timing: id  8 | task 1409 | n_gen =    179, tg =   8.12 t/s, tg_3s =   8.43 t/s
12.19.896.927 I slot print_timing: id  9 | task 1403 | n_gen =    179, tg =   8.12 t/s, tg_3s =   8.43 t/s
12.19.897.133 I slot print_timing: id 10 | task 1405 | n_gen =    179, tg =   8.12 t/s, tg_3s =   8.43 t/s
12.19.897.345 I slot print_timing: id 11 | task 1404 | n_gen =    179, tg =   8.12 t/s, tg_3s =   8.43 t/s
12.20.809.961 I slot print_timing: id  2 | task 1471 | n_gen =    126, tg =   8.30 t/s, tg_3s =   8.40 t/s
12.22.366.856 I slot print_timing: id  3 | task 1486 | n_gen =    126, tg =   8.58 t/s, tg_3s =   8.64 t/s
12.22.930.879 I slot print_timing: id  0 | task 1400 | n_gen =    206, tg =   8.22 t/s, tg_3s =   8.89 t/s
12.22.931.096 I slot print_timing: id  1 | task 1401 | n_gen =    206, tg =   8.22 t/s, tg_3s =   8.89 t/s
12.22.931.723 I slot print_timing: id  4 | task 1402 | n_gen =    206, tg =   8.22 t/s, tg_3s =   8.89 t/s
12.22.931.934 I slot print_timing: id  5 | task 1406 | n_gen =    206, tg =   8.22 t/s, tg_3s =   8.89 t/s
12.22.932.137 I slot print_timing: id  6 | task 1407 | n_gen =    206, tg =   8.22 t/s, tg_3s =   8.89 t/s
12.22.932.347 I slot print_timing: id  7 | task 1408 | n_gen =    206, tg =   8.22 t/s, tg_3s =   8.89 t/s
12.22.932.555 I slot print_timing: id  8 | task 1409 | n_gen =    206, tg =   8.22 t/s, tg_3s =   8.89 t/s
12.22.932.764 I slot print_timing: id  9 | task 1403 | n_gen =    206, tg =   8.22 t/s, tg_3s =   8.89 t/s
12.22.932.968 I slot print_timing: id 10 | task 1405 | n_gen =    206, tg =   8.22 t/s, tg_3s =   8.89 t/s
12.22.933.173 I slot print_timing: id 11 | task 1404 | n_gen =    206, tg =   8.22 t/s, tg_3s =   8.89 t/s
12.23.826.937 I slot print_timing: id  2 | task 1471 | n_gen =    153, tg =   8.41 t/s, tg_3s =   8.95 t/s
12.25.389.899 I slot print_timing: id  3 | task 1486 | n_gen =    153, tg =   8.64 t/s, tg_3s =   8.93 t/s
12.25.998.025 I slot print_timing: id  0 | task 1400 | n_gen =    233, tg =   8.28 t/s, tg_3s =   8.80 t/s
12.25.998.246 I slot print_timing: id  1 | task 1401 | n_gen =    233, tg =   8.28 t/s, tg_3s =   8.80 t/s
12.25.998.899 I slot print_timing: id  4 | task 1402 | n_gen =    233, tg =   8.28 t/s, tg_3s =   8.80 t/s
12.25.999.105 I slot print_timing: id  5 | task 1406 | n_gen =    233, tg =   8.28 t/s, tg_3s =   8.80 t/s
12.25.999.322 I slot print_timing: id  6 | task 1407 | n_gen =    233, tg =   8.28 t/s, tg_3s =   8.80 t/s
12.25.999.533 I slot print_timing: id  7 | task 1408 | n_gen =    233, tg =   8.28 t/s, tg_3s =   8.80 t/s
12.25.999.745 I slot print_timing: id  8 | task 1409 | n_gen =    233, tg =   8.28 t/s, tg_3s =   8.80 t/s
12.25.999.954 I slot print_timing: id  9 | task 1403 | n_gen =    233, tg =   8.28 t/s, tg_3s =   8.80 t/s
12.26.000.160 I slot print_timing: id 10 | task 1405 | n_gen =    233, tg =   8.28 t/s, tg_3s =   8.80 t/s
12.26.000.368 I slot print_timing: id 11 | task 1404 | n_gen =    233, tg =   8.28 t/s, tg_3s =   8.80 t/s
12.26.971.764 I slot print_timing: id  2 | task 1471 | n_gen =    180, tg =   8.43 t/s, tg_3s =   8.59 t/s
12.28.478.239 I slot print_timing: id  3 | task 1486 | n_gen =    178, tg =   8.56 t/s, tg_3s =   8.09 t/s
12.28.810.822 I slot print_timing: id  0 | task 1400 | prompt eval time =    1640.84 ms /    21 tokens (   78.14 ms per token,    12.80 tokens per second)
12.28.810.826 I slot print_timing: id  0 | task 1400 |        eval time =   30825.47 ms /   256 tokens (  120.88 ms per token,     8.27 tokens per second)
12.28.810.826 I slot print_timing: id  0 | task 1400 |       total time =   32466.31 ms /   277 tokens
12.28.810.828 I slot print_timing: id  0 | task 1400 |    graphs reused =       1318
12.28.810.859 I slot      release: id  0 | task 1400 | stop processing: n_tokens = 276, truncated = 0
12.28.811.077 I slot print_timing: id  1 | task 1401 | prompt eval time =    1632.82 ms /    73 tokens (   22.37 ms per token,    44.71 tokens per second)
12.28.811.079 I slot print_timing: id  1 | task 1401 |        eval time =   30825.44 ms /   256 tokens (  120.88 ms per token,     8.27 tokens per second)
12.28.811.080 I slot print_timing: id  1 | task 1401 |       total time =   32458.26 ms /   329 tokens
12.28.811.080 I slot print_timing: id  1 | task 1401 |    graphs reused =       1318
12.28.811.098 I slot      release: id  1 | task 1401 | stop processing: n_tokens = 328, truncated = 0
12.28.811.736 I slot print_timing: id  4 | task 1402 | prompt eval time =    1623.80 ms /    19 tokens (   85.46 ms per token,    11.70 tokens per second)
12.28.811.739 I slot print_timing: id  4 | task 1402 |        eval time =   30825.40 ms /   256 tokens (  120.88 ms per token,     8.27 tokens per second)
12.28.811.739 I slot print_timing: id  4 | task 1402 |       total time =   32449.20 ms /   275 tokens
12.28.811.739 I slot print_timing: id  4 | task 1402 |    graphs reused =       1318
12.28.811.754 I slot      release: id  4 | task 1402 | stop processing: n_tokens = 274, truncated = 0
12.28.811.971 I slot print_timing: id  5 | task 1406 | prompt eval time =    1616.46 ms /    20 tokens (   80.82 ms per token,    12.37 tokens per second)
12.28.811.973 I slot print_timing: id  5 | task 1406 |        eval time =   30825.35 ms /   256 tokens (  120.88 ms per token,     8.27 tokens per second)
12.28.811.973 I slot print_timing: id  5 | task 1406 |       total time =   32441.80 ms /   276 tokens
12.28.811.973 I slot print_timing: id  5 | task 1406 |    graphs reused =       1318
12.28.811.987 I slot      release: id  5 | task 1406 | stop processing: n_tokens = 275, truncated = 0
12.28.812.193 I slot print_timing: id  6 | task 1407 | prompt eval time =    1609.12 ms /    30 tokens (   53.64 ms per token,    18.64 tokens per second)
12.28.812.195 I slot print_timing: id  6 | task 1407 |        eval time =   30825.29 ms /   256 tokens (  120.88 ms per token,     8.27 tokens per second)
12.28.812.195 I slot print_timing: id  6 | task 1407 |       total time =   32434.41 ms /   286 tokens
12.28.812.195 I slot print_timing: id  6 | task 1407 |    graphs reused =       1318
12.28.812.206 I slot      release: id  6 | task 1407 | stop processing: n_tokens = 285, truncated = 0
12.28.812.419 I slot print_timing: id  7 | task 1408 | prompt eval time =    1600.73 ms /    23 tokens (   69.60 ms per token,    14.37 tokens per second)
12.28.812.420 I slot print_timing: id  7 | task 1408 |        eval time =   30825.24 ms /   256 tokens (  120.88 ms per token,     8.27 tokens per second)
12.28.812.421 I slot print_timing: id  7 | task 1408 |       total time =   32425.97 ms /   279 tokens
12.28.812.421 I slot print_timing: id  7 | task 1408 |    graphs reused =       1318
12.28.812.430 I slot      release: id  7 | task 1408 | stop processing: n_tokens = 278, truncated = 0
12.28.812.646 I slot print_timing: id  8 | task 1409 | prompt eval time =    1589.96 ms /    22 tokens (   72.27 ms per token,    13.84 tokens per second)
12.28.812.648 I slot print_timing: id  8 | task 1409 |        eval time =   30825.18 ms /   256 tokens (  120.88 ms per token,     8.27 tokens per second)
12.28.812.648 I slot print_timing: id  8 | task 1409 |       total time =   32415.15 ms /   278 tokens
12.28.812.649 I slot print_timing: id  8 | task 1409 |    graphs reused =       1318
12.28.812.660 I slot      release: id  8 | task 1409 | stop processing: n_tokens = 277, truncated = 0
12.28.812.878 I slot print_timing: id  9 | task 1403 | prompt eval time =    1580.90 ms /    19 tokens (   83.21 ms per token,    12.02 tokens per second)
12.28.812.880 I slot print_timing: id  9 | task 1403 |        eval time =   30825.13 ms /   256 tokens (  120.88 ms per token,     8.27 tokens per second)
12.28.812.881 I slot print_timing: id  9 | task 1403 |       total time =   32406.04 ms /   275 tokens
12.28.812.881 I slot print_timing: id  9 | task 1403 |    graphs reused =       1318
12.28.812.888 I slot      release: id  9 | task 1403 | stop processing: n_tokens = 274, truncated = 0
12.28.813.101 I slot print_timing: id 10 | task 1405 | prompt eval time =    1571.34 ms /    24 tokens (   65.47 ms per token,    15.27 tokens per second)
12.28.813.103 I slot print_timing: id 10 | task 1405 |        eval time =   30825.08 ms /   256 tokens (  120.88 ms per token,     8.27 tokens per second)
12.28.813.103 I slot print_timing: id 10 | task 1405 |       total time =   32396.42 ms /   280 tokens
12.28.813.103 I slot print_timing: id 10 | task 1405 |    graphs reused =       1318
12.28.813.112 I slot      release: id 10 | task 1405 | stop processing: n_tokens = 279, truncated = 0
12.28.813.335 I slot print_timing: id 11 | task 1404 | prompt eval time =    1562.51 ms /    17 tokens (   91.91 ms per token,    10.88 tokens per second)
12.28.813.337 I slot print_timing: id 11 | task 1404 |        eval time =   30825.03 ms /   256 tokens (  120.88 ms per token,     8.27 tokens per second)
12.28.813.337 I slot print_timing: id 11 | task 1404 |       total time =   32387.53 ms /   273 tokens
12.28.813.338 I slot print_timing: id 11 | task 1404 |    graphs reused =       1318
12.28.813.345 I slot      release: id 11 | task 1404 | stop processing: n_tokens = 272, truncated = 0
12.28.863.917 I slot get_availabl: id  7 | task -1 | selected slot by LCP similarity, f_sim_best = 0.269 (> 0.100 thold), f_keep = 0.025
12.28.863.960 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.258 MiB)
12.28.947.992 I slot launch_slot_: id  7 | task 1670 | processing task, is_child = 0
12.28.948.020 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.258 MiB)
12.29.025.330 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.070 MiB)
12.29.101.770 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.633 MiB)
12.29.177.175 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.070 MiB)
12.29.253.097 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.383 MiB)
12.29.329.070 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.383 MiB)
12.29.405.959 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 316.258 MiB)
12.29.481.520 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 465.884 MiB)
12.29.563.260 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 466.009 MiB)
12.29.644.405 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.188 (> 0.100 thold), f_keep = 0.011
12.29.644.452 I slot launch_slot_: id  0 | task 1671 | processing task, is_child = 0
12.29.644.562 I slot get_availabl: id  9 | task -1 | selected slot by LCP similarity, f_sim_best = 0.208 (> 0.100 thold), f_keep = 0.018
12.29.644.583 I slot launch_slot_: id  9 | task 1672 | processing task, is_child = 0
12.29.644.665 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 44003196836
12.29.644.686 I slot launch_slot_: id  1 | task 1673 | processing task, is_child = 0
12.29.644.754 I slot get_availabl: id  4 | task -1 | selected slot by LRU, t_last = 44003197491
12.29.644.775 I slot launch_slot_: id  4 | task 1674 | processing task, is_child = 0
12.29.644.833 I slot get_availabl: id  5 | task -1 | selected slot by LRU, t_last = 44003197724
12.29.644.853 I slot launch_slot_: id  5 | task 1675 | processing task, is_child = 0
12.29.644.899 I slot get_availabl: id  6 | task -1 | selected slot by LRU, t_last = 44003197943
12.29.644.920 I slot launch_slot_: id  6 | task 1676 | processing task, is_child = 0
12.29.644.955 I slot get_availabl: id  8 | task -1 | selected slot by LRU, t_last = 44003198398
12.29.644.976 I slot launch_slot_: id  8 | task 1677 | processing task, is_child = 0
12.29.645.000 I slot get_availabl: id 10 | task -1 | selected slot by LRU, t_last = 44003198849
12.29.645.021 I slot launch_slot_: id 10 | task 1678 | processing task, is_child = 0
12.29.645.034 I slot get_availabl: id 11 | task -1 | selected slot by LRU, t_last = 44003199082
12.29.645.054 I slot launch_slot_: id 11 | task 1679 | processing task, is_child = 0
12.30.790.274 I slot print_timing: id  2 | task 1471 | n_gen =    197, tg =   7.83 t/s, tg_3s =   4.45 t/s
12.31.478.349 I slot print_timing: id  3 | task 1486 | n_gen =    184, tg =   7.73 t/s, tg_3s =   2.00 t/s
12.33.799.727 I slot print_timing: id  2 | task 1471 | n_gen =    217, tg =   7.70 t/s, tg_3s =   6.65 t/s
12.34.581.384 I slot print_timing: id  3 | task 1486 | n_gen =    210, tg =   7.80 t/s, tg_3s =   8.38 t/s
12.36.826.107 I slot print_timing: id  2 | task 1471 | n_gen =    244, tg =   7.82 t/s, tg_3s =   8.92 t/s
12.37.617.064 I slot print_timing: id  3 | task 1486 | n_gen =    237, tg =   7.91 t/s, tg_3s =   8.89 t/s
12.38.174.841 I slot print_timing: id  2 | task 1471 | prompt eval time =     489.69 ms /    21 tokens (   23.32 ms per token,    42.88 tokens per second)
12.38.174.846 I slot print_timing: id  2 | task 1471 |        eval time =   32429.10 ms /   256 tokens (  127.17 ms per token,     7.86 tokens per second)
12.38.174.846 I slot print_timing: id  2 | task 1471 |       total time =   32918.80 ms /   277 tokens
12.38.174.848 I slot print_timing: id  2 | task 1471 |    graphs reused =       1375
12.38.174.885 I slot      release: id  2 | task 1471 | stop processing: n_tokens = 276, truncated = 0
12.38.176.835 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 44012560622
12.38.242.722 I slot launch_slot_: id  2 | task 1740 | processing task, is_child = 0
12.40.301.534 I slot print_timing: id  3 | task 1486 | prompt eval time =     507.61 ms /    73 tokens (    6.95 ms per token,   143.81 tokens per second)
12.40.301.538 I slot print_timing: id  3 | task 1486 |        eval time =   32507.78 ms /   256 tokens (  127.48 ms per token,     7.84 tokens per second)
12.40.301.538 I slot print_timing: id  3 | task 1486 |       total time =   33015.39 ms /   329 tokens
12.40.301.539 I slot print_timing: id  3 | task 1486 |    graphs reused =       1386
12.40.301.578 I slot      release: id  3 | task 1486 | stop processing: n_tokens = 328, truncated = 0
12.40.461.674 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 44014687315
12.40.461.721 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 150.127 MiB)
12.40.472.261 W srv         alloc:  - making room for prompt cache entry, removing oldest entry (size = 304.379 MiB)
12.40.554.538 I slot launch_slot_: id  3 | task 1756 | processing task, is_child = 0
12.44.104.611 I slot print_timing: id  0 | task 1671 | n_gen =    100, tg =   7.84 t/s, tg_3s =   7.92 t/s
12.44.104.830 I slot print_timing: id  1 | task 1673 | n_gen =    100, tg =   7.84 t/s, tg_3s =   7.92 t/s
12.44.105.575 I slot print_timing: id  4 | task 1674 | n_gen =    100, tg =   7.84 t/s, tg_3s =   7.92 t/s
12.44.105.791 I slot print_timing: id  5 | task 1675 | n_gen =    100, tg =   7.84 t/s, tg_3s =   7.92 t/s
12.44.106.006 I slot print_timing: id  6 | task 1676 | n_gen =    100, tg =   7.84 t/s, tg_3s =   7.92 t/s
12.44.106.213 I slot print_timing: id  7 | task 1670 | n_gen =    100, tg =   7.84 t/s, tg_3s =   7.92 t/s
12.44.106.428 I slot print_timing: id  8 | task 1677 | n_gen =    100, tg =   7.84 t/s, tg_3s =   7.92 t/s
12.44.106.643 I slot print_timing: id  9 | task 1672 | n_gen =    100, tg =   7.84 t/s, tg_3s =   7.92 t/s
12.44.106.855 I slot print_timing: id 10 | task 1678 | n_gen =    100, tg =   7.84 t/s, tg_3s =   7.92 t/s
12.44.107.068 I slot print_timing: id 11 | task 1679 | n_gen =    100, tg =   7.84 t/s, tg_3s =   7.92 t/s
12.47.131.115 I slot print_timing: id  0 | task 1671 | n_gen =    126, tg =   7.99 t/s, tg_3s =   8.59 t/s
12.47.131.334 I slot print_timing: id  1 | task 1673 | n_gen =    126, tg =   7.99 t/s, tg_3s =   8.59 t/s
12.47.131.969 I slot print_timing: id  4 | task 1674 | n_gen =    126, tg =   7.99 t/s, tg_3s =   8.59 t/s
12.47.132.183 I slot print_timing: id  5 | task 1675 | n_gen =    126, tg =   7.99 t/s, tg_3s =   8.59 t/s
12.47.132.396 I slot print_timing: id  6 | task 1676 | n_gen =    126, tg =   7.99 t/s, tg_3s =   8.59 t/s
12.47.132.607 I slot print_timing: id  7 | task 1670 | n_gen =    126, tg =   7.99 t/s, tg_3s =   8.59 t/s
12.47.132.822 I slot print_timing: id  8 | task 1677 | n_gen =    126, tg =   7.99 t/s, tg_3s =   8.59 t/s
12.47.133.038 I slot print_timing: id  9 | task 1672 | n_gen =    126, tg =   7.99 t/s, tg_3s =   8.59 t/s
12.47.133.243 I slot print_timing: id 10 | task 1678 | n_gen =    126, tg =   7.99 t/s, tg_3s =   8.59 t/s
12.47.133.462 I slot print_timing: id 11 | task 1679 | n_gen =    126, tg =   7.99 t/s, tg_3s =   8.59 t/s
12.50.214.408 I slot print_timing: id  0 | task 1671 | n_gen =    153, tg =   8.11 t/s, tg_3s =   8.76 t/s
12.50.214.635 I slot print_timing: id  1 | task 1673 | n_gen =    153, tg =   8.11 t/s, tg_3s =   8.76 t/s
12.50.215.321 I slot print_timing: id  4 | task 1674 | n_gen =    153, tg =   8.11 t/s, tg_3s =   8.76 t/s
12.50.215.538 I slot print_timing: id  5 | task 1675 | n_gen =    153, tg =   8.11 t/s, tg_3s =   8.76 t/s
12.50.215.759 I slot print_timing: id  6 | task 1676 | n_gen =    153, tg =   8.11 t/s, tg_3s =   8.76 t/s
12.50.215.974 I slot print_timing: id  7 | task 1670 | n_gen =    153, tg =   8.11 t/s, tg_3s =   8.76 t/s
12.50.216.190 I slot print_timing: id  8 | task 1677 | n_gen =    153, tg =   8.11 t/s, tg_3s =   8.76 t/s
12.50.216.399 I slot print_timing: id  9 | task 1672 | n_gen =    153, tg =   8.11 t/s, tg_3s =   8.76 t/s
12.50.216.614 I slot print_timing: id 10 | task 1678 | n_gen =    153, tg =   8.11 t/s, tg_3s =   8.76 t/s
12.50.216.830 I slot print_timing: id 11 | task 1679 | n_gen =    153, tg =   8.11 t/s, tg_3s =   8.76 t/s
12.51.031.924 I slot print_timing: id  2 | task 1740 | n_gen =    100, tg =   8.13 t/s, tg_3s =   8.21 t/s
12.52.808.434 I slot print_timing: id  3 | task 1756 | n_gen =    100, tg =   8.48 t/s, tg_3s =   8.56 t/s
12.53.317.769 I slot print_timing: id  0 | task 1671 | n_gen =    179, tg =   8.15 t/s, tg_3s =   8.38 t/s
12.53.317.989 I slot print_timing: id  1 | task 1673 | n_gen =    179, tg =   8.15 t/s, tg_3s =   8.38 t/s
12.53.318.644 I slot print_timing: id  4 | task 1674 | n_gen =    179, tg =   8.15 t/s, tg_3s =   8.38 t/s
12.53.318.870 I slot print_timing: id  5 | task 1675 | n_gen =    179, tg =   8.15 t/s, tg_3s =   8.38 t/s
12.53.319.098 I slot print_timing: id  6 | task 1676 | n_gen =    179, tg =   8.15 t/s, tg_3s =   8.38 t/s
12.53.319.327 I slot print_timing: id  7 | task 1670 | n_gen =    179, tg =   8.15 t/s, tg_3s =   8.38 t/s
12.53.319.557 I slot print_timing: id  8 | task 1677 | n_gen =    179, tg =   8.15 t/s, tg_3s =   8.38 t/s
12.53.319.790 I slot print_timing: id  9 | task 1672 | n_gen =    179, tg =   8.15 t/s, tg_3s =   8.38 t/s
12.53.320.008 I slot print_timing: id 10 | task 1678 | n_gen =    179, tg =   8.15 t/s, tg_3s =   8.38 t/s
12.53.320.227 I slot print_timing: id 11 | task 1679 | n_gen =    179, tg =   8.15 t/s, tg_3s =   8.38 t/s
12.54.154.514 I slot print_timing: id  2 | task 1740 | n_gen =    126, tg =   8.17 t/s, tg_3s =   8.33 t/s
12.55.829.707 I slot print_timing: id  3 | task 1756 | n_gen =    125, tg =   8.43 t/s, tg_3s =   8.27 t/s
12.56.399.981 I slot print_timing: id  0 | task 1671 | n_gen =    205, tg =   8.19 t/s, tg_3s =   8.44 t/s
12.56.400.198 I slot print_timing: id  1 | task 1673 | n_gen =    205, tg =   8.19 t/s, tg_3s =   8.44 t/s
12.56.400.845 I slot print_timing: id  4 | task 1674 | n_gen =    205, tg =   8.19 t/s, tg_3s =   8.44 t/s
12.56.401.063 I slot print_timing: id  5 | task 1675 | n_gen =    205, tg =   8.19 t/s, tg_3s =   8.44 t/s
12.56.401.286 I slot print_timing: id  6 | task 1676 | n_gen =    205, tg =   8.19 t/s, tg_3s =   8.44 t/s
12.56.401.494 I slot print_timing: id  7 | task 1670 | n_gen =    205, tg =   8.19 t/s, tg_3s =   8.44 t/s
12.56.401.711 I slot print_timing: id  8 | task 1677 | n_gen =    205, tg =   8.19 t/s, tg_3s =   8.44 t/s
12.56.401.931 I slot print_timing: id  9 | task 1672 | n_gen =    205, tg =   8.19 t/s, tg_3s =   8.44 t/s
12.56.402.144 I slot print_timing: id 10 | task 1678 | n_gen =    205, tg =   8.19 t/s, tg_3s =   8.44 t/s
12.56.402.367 I slot print_timing: id 11 | task 1679 | n_gen =    205, tg =   8.19 t/s, tg_3s =   8.44 t/s
12.57.181.749 I slot print_timing: id  2 | task 1740 | n_gen =    152, tg =   8.24 t/s, tg_3s =   8.59 t/s
12.58.865.165 I slot print_timing: id  3 | task 1756 | n_gen =    151, tg =   8.46 t/s, tg_3s =   8.57 t/s
12.59.433.134 I slot print_timing: id  0 | task 1671 | n_gen =    231, tg =   8.23 t/s, tg_3s =   8.57 t/s
12.59.433.348 I slot print_timing: id  1 | task 1673 | n_gen =    231, tg =   8.23 t/s, tg_3s =   8.57 t/s
12.59.433.997 I slot print_timing: id  4 | task 1674 | n_gen =    231, tg =   8.23 t/s, tg_3s =   8.57 t/s
12.59.434.216 I slot print_timing: id  5 | task 1675 | n_gen =    231, tg =   8.23 t/s, tg_3s =   8.57 t/s
12.59.434.466 I slot print_timing: id  6 | task 1676 | n_gen =    231, tg =   8.23 t/s, tg_3s =   8.57 t/s
12.59.434.687 I slot print_timing: id  7 | task 1670 | n_gen =    231, tg =   8.23 t/s, tg_3s =   8.57 t/s
12.59.434.990 I slot print_timing: id  8 | task 1677 | n_gen =    231, tg =   8.23 t/s, tg_3s =   8.57 t/s
12.59.435.216 I slot print_timing: id  9 | task 1672 | n_gen =    231, tg =   8.23 t/s, tg_3s =   8.57 t/s
12.59.435.434 I slot print_timing: id 10 | task 1678 | n_gen =    231, tg =   8.23 t/s, tg_3s =   8.57 t/s
12.59.435.649 I slot print_timing: id 11 | task 1679 | n_gen =    231, tg =   8.23 t/s, tg_3s =   8.57 t/s
13.00.220.928 I slot print_timing: id  2 | task 1740 | n_gen =    178, tg =   8.28 t/s, tg_3s =   8.55 t/s
13.01.941.673 I slot print_timing: id  3 | task 1756 | n_gen =    178, tg =   8.50 t/s, tg_3s =   8.78 t/s
13.02.277.392 I slot print_timing: id  0 | task 1671 | prompt eval time =    1832.54 ms /    16 tokens (  114.53 ms per token,     8.73 tokens per second)
13.02.277.396 I slot print_timing: id  0 | task 1671 |        eval time =   30799.78 ms /   256 tokens (  120.78 ms per token,     8.28 tokens per second)
13.02.277.396 I slot print_timing: id  0 | task 1671 |       total time =   32632.32 ms /   272 tokens
13.02.277.397 I slot print_timing: id  0 | task 1671 |    graphs reused =       1564
13.02.277.429 I slot      release: id  0 | task 1671 | stop processing: n_tokens = 271, truncated = 0
13.02.277.654 I slot print_timing: id  1 | task 1673 | prompt eval time =    1826.22 ms /    32 tokens (   57.07 ms per token,    17.52 tokens per second)
13.02.277.656 I slot print_timing: id  1 | task 1673 |        eval time =   30799.75 ms /   256 tokens (  120.78 ms per token,     8.28 tokens per second)
13.02.277.656 I slot print_timing: id  1 | task 1673 |       total time =   32625.97 ms /   288 tokens
13.02.277.657 I slot print_timing: id  1 | task 1673 |    graphs reused =       1564
13.02.277.670 I slot      release: id  1 | task 1673 | stop processing: n_tokens = 287, truncated = 0
13.02.278.341 I slot print_timing: id  4 | task 1674 | prompt eval time =    1819.95 ms /    42 tokens (   43.33 ms per token,    23.08 tokens per second)
13.02.278.344 I slot print_timing: id  4 | task 1674 |        eval time =   30799.69 ms /   256 tokens (  120.78 ms per token,     8.28 tokens per second)
13.02.278.344 I slot print_timing: id  4 | task 1674 |       total time =   32619.64 ms /   298 tokens
13.02.278.344 I slot print_timing: id  4 | task 1674 |    graphs reused =       1564
13.02.278.360 I slot      release: id  4 | task 1674 | stop processing: n_tokens = 297, truncated = 0
13.02.278.583 I slot print_timing: id  5 | task 1675 | prompt eval time =    1811.80 ms /    30 tokens (   60.39 ms per token,    16.56 tokens per second)
13.02.278.584 I slot print_timing: id  5 | task 1675 |        eval time =   30799.62 ms /   256 tokens (  120.78 ms per token,     8.28 tokens per second)
13.02.278.585 I slot print_timing: id  5 | task 1675 |       total time =   32611.42 ms /   286 tokens
13.02.278.585 I slot print_timing: id  5 | task 1675 |    graphs reused =       1564
13.02.278.597 I slot      release: id  5 | task 1675 | stop processing: n_tokens = 285, truncated = 0
13.02.278.822 I slot print_timing: id  6 | task 1676 | prompt eval time =    1803.15 ms /    31 tokens (   58.17 ms per token,    17.19 tokens per second)
13.02.278.823 I slot print_timing: id  6 | task 1676 |        eval time =   30799.58 ms /   256 tokens (  120.78 ms per token,     8.28 tokens per second)
13.02.278.823 I slot print_timing: id  6 | task 1676 |       total time =   32602.73 ms /   287 tokens
13.02.278.824 I slot print_timing: id  6 | task 1676 |    graphs reused =       1564
13.02.278.837 I slot      release: id  6 | task 1676 | stop processing: n_tokens = 286, truncated = 0
13.02.279.063 I slot print_timing: id  7 | task 1670 | prompt eval time =    1792.36 ms /    26 tokens (   68.94 ms per token,    14.51 tokens per second)
